                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8747,                0.94119,                 0.9919,                0.87043,                0.74529,                 0.7779,                  0.371,                 1.7508,                0.85512,                0.94609,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.8421,                0.93665,                0.98882,                0.85793,                0.74407,                0.77167,                0.36953,                 1.7674,                0.85346,                0.95112,               0.000614,               0.000614,               0.000614
                     37,                 1.8476,                0.92725,                0.98947,                 0.8565,                0.74819,                0.77497,                0.36985,                 1.7675,                0.83918,                0.94904,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.8336,                0.92524,                0.98807,                0.86754,                0.74458,                 0.7748,                0.37051,                 1.7542,                0.83595,                0.94707,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.8487,                0.92826,                0.98618,                0.86247,                0.74673,                0.77607,                0.37129,                 1.7712,                0.84424,                0.94755,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.8302,                0.92447,                0.98423,                0.86353,                0.74949,                0.77999,                0.38028,                  1.725,                 0.8269,                 0.9425,              0.0004556,              0.0004556,              0.0004556
                     41,                  1.821,                0.97557,                 1.0172,                0.86019,                0.74902,                0.77859,                0.37475,                  1.746,                0.84813,                 0.9458,               0.000416,               0.000416,               0.000416
                     42,                 1.7846,                0.92667,                 0.9931,                0.86357,                0.74674,                0.77482,                0.37295,                 1.7583,                0.83428,                0.94542,              0.0003764,              0.0003764,              0.0003764
                     43,                  1.794,                 0.9257,                0.98994,                0.86283,                0.74769,                 0.7759,                0.37273,                 1.7528,                0.83926,                0.94712,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.7864,                0.91054,                0.98489,                0.85664,                0.75192,                0.77502,                0.37294,                  1.738,                0.83034,                 0.9452,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.7369,                 2.4856,                0.97152,                0.86874,                0.74943,                0.78378,                0.38263,                 1.7348,                0.82205,                0.94238,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.7697,                0.89812,                0.98277,                0.86561,                0.74696,                0.77794,                0.37341,                 1.7437,                0.83048,                0.94417,               0.000218,               0.000218,               0.000218
                     47,                 1.7573,                0.90318,                  0.983,                0.86841,                0.75005,                0.78066,                0.37861,                 1.7365,                 0.8282,                0.94202,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.7704,                0.90848,                0.98533,                 0.8638,                0.75519,                0.78172,                0.37636,                 1.7315,                0.82987,                0.94269,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.7485,                 0.8916,                0.98516,                0.86319,                0.75261,                 0.7825,                  0.381,                 1.7309,                0.82866,                0.93946,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                  1.739,                0.88671,                0.97876,                0.86461,                0.75399,                0.78326,                 0.3859,                 1.7246,                 0.8264,                0.93914,               5.96e-05,               5.96e-05,               5.96e-05
